Country,URLs,Top Words
Ireland,"['https://www.bbc.com/news/articles/cek95vgnm79o', 'https://www.eurogamer.net/us-video-game-performers-are-striking-over-ongoing-ai-concerns', 'https://removed.com', 'https://removed.com', 'https://finance.yahoo.com/news/5-travel-destinations-still-cheap-160258331.html', 'https://www.bbc.com/news/articles/cek95vgnm79o?xtor=AL-72-%5Bpartner%5D-%5Byahoo.north.america%5D-%5Bheadline%5D-%5Bnews%5D-%5Bbizdev%5D-%5Bisapi%5D', 'https://www.bbc.com/news/articles/cn08yw474q6o', 'https://www.aol.com/news/europes-central-bank-hits-pause-072432087.html', 'https://removed.com', 'https://www.bbc.com/news/articles/cmm26e1qpzgo']","['soon', 'water', 'come', 'rate', 'wage', 'advertis', 'live', 'summer', 'travel', 'ai']"
Italy,"['https://www.businessinsider.com/financial-therapist-helped-me-budget-for-month-wedding-cost-2024-7', 'https://www.npr.org/2024/07/09/nx-s1-5033685/baby-bonus-baltimore-1-000-payment-reduce-childhood-poverty', 'https://www.npr.org/2024/07/31/g-s1-14563/up-first-newsletter-hamas-ismail-haniyeh-israel-iran-simone-biles-olympics', 'https://www.forbes.com/sites/greatspeculations/2024/07/15/bidens-election-troubles-and-the-market-implications/', 'https://www.forbes.com/sites/rachelking/2024/07/11/consumers-opting-for-cheaper-drinks-amid-inflation-woes-and-health-concerns/', 'https://www.aljazeera.com/news/2024/7/4/uk-general-election-2024-key-issues-by-the-numbers', 'https://www.forbes.com/sites/katharinabuchholz/2024/08/02/half-of-oecd-countries-earn-less-now-than-pre-pandemic-infographic/', 'https://finance.yahoo.com/news/wealthiest-person-italy-231023296.html', 'https://qz.com/anant-ambani-multi-million-dollar-wedding-1851585950', 'https://www.theatlantic.com/ideas/archive/2024/07/donald-trump-democracy-dictator/679006/?utm_source=feed']","['drink', 'wage', 'wed', 'trump', 'percent', 'clayman', 'baltimor', 'uk', 'consum', 'save']"
Japan,"['https://gizmodo.com/costco-raising-membership-fees-for-first-time-since-2017-2000469465', 'https://time.com/7005151/stop-economic-doomsaying-essay/', 'https://hypebeast.com/2024/7/armani-revenue-increases-financial-report', 'https://economictimes.indiatimes.com/markets/stocks/news/asian-stocks-echo-us-rally-ahead-of-inflation-data-markets-wrap/articleshow/111647314.cms', 'https://www.forbes.com/sites/katharinabuchholz/2024/08/02/half-of-oecd-countries-earn-less-now-than-pre-pandemic-infographic/', 'https://biztoc.com/x/ca270e5966b7936a', 'https://time.com/7001208/kamala-harris-views-abortion-economy-immigration-israel-gaza/', 'https://www.yahoo.com/news/not-prepared-congressional-panel-calls-123701505.html', 'https://finance.yahoo.com/news/asian-stocks-set-track-wall-223505627.html', 'https://www.forbes.com/sites/seanhanlon-1/2024/07/05/2024-mid-year-update/']","['harri', 'wage', 'membership', 'economist', 'defens', 'rate', 'prime', 'armani', 'olymp', 'costco']"
Malta,"['https://finance.yahoo.com/news/morning-bid-powell-stirs-rate-100158001.html', 'https://www.thefp.com/p/the-great-gold-rush-of-2024', 'https://www.hurriyetdailynews.com/the-eus-women-led-top-team-198580', 'https://www.investing.com/news/stock-market-news/is-europes-recovery-canceled-3509479', 'https://www.investing.com/news/stock-market-news/is-europes-recovery-canceled-432SI-3509479', 'https://ipwatchdog.com/2024/07/12/barks-eu-publishes-final-text-new-ai-act-bipartisan-group-senators-introduces-bill/id=178826/', 'https://www.digitaljournal.com/world/the-eus-women-led-top-team/article', 'https://www.euractiv.com/section/economy-jobs/news/new-fiscal-rules-may-require-deeper-than-expected-spending-cuts-in-2025-eurogroup-signals/', 'https://www.investing.com/news/commodities-news/morning-bid-powell-stirs-rate-hopes-trump-trade-cools-3520451', 'https://www.irishtimes.com/business/2024/07/10/number-of-home-buyers-opting-for-fixed-rate-mortgages-drops/']","['gold', 'rate', 'fiscal', 'cent', 'per', 'lend', 'mortgag', 'irish', 'parliament', 'wage']"
Mauritius,"['https://www.forbes.com/sites/markfaithfull/2024/07/16/first-look-gymshark-store-debuts-at-westfield-as-it-targets-new-york/', 'https://www.mckinsey.com/capabilities/sustainability/our-insights/nature-stress-test-assessing-exposure-of-five-african-banking-systems', 'https://economictimes.indiatimes.com/news/economy/indicators/indias-trade-deficit-expected-to-decline-further-economic-survey/articleshow/111930811.cms', 'https://www.thehindubusinessline.com/markets/gift-nifty-indicates-positive-start-to-the-week/article68405415.ece', 'https://www.thehindubusinessline.com/markets/stock-market-today-gift-nifty-indicates-positive-start-to-the-week/article68405415.ece', 'https://www.thehindubusinessline.com/markets/stock-market-highlights-1-august-2024/article68469008.ece', 'https://www.thehindubusinessline.com/markets/share-market-highlights-23-july-2024/article68432848.ece', 'https://sundayguardianlive.com/business/indian-health-industry-is-a-sustainable-economy-booster', 'https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0306770']","['u0009', 'hiv', 'rs', 'store', 'medic', 'test', 'franci', 'gymshark', 'scenario', 'risk']"
Mexico,"['https://gizmodo.com/costco-raising-membership-fees-for-first-time-since-2017-2000469465', 'https://www.npr.org/2024/07/30/nx-s1-5055670/harris-trump-border-immigration-georgia', 'https://www.businessinsider.com/turns-out-people-still-havent-forgiven-ted-cruz-for-cancun-2024-7', 'https://www.apmresearchlab.org/10x-adult-literacy', 'https://gizmodo.com/the-workers-who-feed-america-are-going-hungry-2000476140', 'https://www.npr.org/2024/07/11/g-s1-9393/up-first-newsletter-trump-project-2025-shrinkflation', 'https://time.com/7001208/kamala-harris-views-abortion-economy-immigration-israel-gaza/', 'https://time.com/6999989/jd-vance-trump-vice-president-running-mate-rnc-speech/', 'https://www.npr.org/2024/07/25/nx-s1-5049800/pittsburgh-voters-react-harris-democratic-presidential-candidate', 'https://www.bbc.com/news/articles/c2501n5rvvno']","['vanc', 'cruz', 'literaci', 'food', 'harri', 'membership', 'farmwork', 'adult', 'ms', 'wink']"
Nepal,"['https://www.forbes.com/sites/zengernews/2024/07/08/pakistani-american-workers-look-to-invest-in-a-growing-south-asian-property-market/', 'https://www.cnn.com/2024/07/05/investing/premarket-stocks-trading-earnings-season/index.html', 'https://foreignpolicy.com/2024/07/05/foreign-policy-news-quiz-france-parliament-elections-israel-gaza-war-nepal-government/', 'https://www.thehindubusinessline.com/economy/2-wheeler-2024-exports-rise-23-in-h1/article68402944.ece', 'https://economictimes.indiatimes.com/news/india/india-likely-to-import-potatoes-from-bhutan/articleshow/112023692.cms', 'https://www.thehindubusinessline.com/economy/2-wheeler-exports-rise-23-in-h1-of-2024-but-recovery-fragile/article68402944.ece', 'https://www.thehindubusinessline.com/companies/asian-paints-q1-results-net-profit-down-25-on-weak-demand-lower-realisation/article68414507.ece', 'https://foreignpolicy.com/2024/07/17/pakistan-is-trying-to-ban-imran-khans-party-will-that-spark-a-political-crisis/', 'https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0307104', 'https://www.thehindubusinessline.com/companies/2-wheeler-exports-rise-23-in-h1-of-2024-but-recovery-fragile/article68402944.ece']","['wheeler', 'export', 'estat', 'studi', 'crore', 'insomnia', 'prime', 'real', 'et', 'fp']"
Netherlands,"['https://www.theatlantic.com/politics/archive/2024/07/republican-national-convention-trump-winning/679037/?utm_source=feed', 'https://www.forbes.com/sites/katharinabuchholz/2024/08/02/half-of-oecd-countries-earn-less-now-than-pre-pandemic-infographic/', 'https://finance.yahoo.com/news/euronext-amsterdam-showcases-basic-fit-050836910.html', 'https://www.just-drinks.com/news/netherlands-beer-consumption-declines-amid-new-taxes-poor-weather/', 'https://www.yahoo.com/news/france-muted-price-pickup-offers-073115363.html', 'https://finance.yahoo.com/news/alfen-two-other-stocks-euronext-050315818.html', 'https://finance.yahoo.com/news/july-2024-insight-german-exchanges-030349841.html', 'https://removed.com', 'https://www.ecb.europa.eu/press/pr/date/2024/html/ecb.pr240726~2da9ec7bdf.en.html', 'https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0305640']","['soon', 'beer', 'wage', 'come', 'pain', 'fatigu', 'trump', 'patient', 'expect', 'month']"
Niger,"['https://removed.com', 'https://www.rt.com/africa/602038-nigeria-violent-protests-army-deployment-plans/', 'https://www.project-syndicate.org/commentary/nigeria-south-africa-weakened-by-political-economic-turmoil-by-adekeye-adebajo-2024-07', 'https://punchng.com/check-development-commissions-proliferation/', 'https://www.rt.com/africa/601345-nigeria-reversion-colonial-anthem/', 'https://punchng.com/reforms-tinubu-determined-to-push-on-shettima/', 'https://punchng.com/endbadgovernanceinnigeria-reduce-fuel-price-to-barest-minimum-ndelta-group-tells-tinubu/', 'https://www.livemint.com/industry/agriculture/amid-better-monsoon-kharif-sowing-in-2024-25-up-10-year-on-year-to-57-5-million-hectares-11721056449227.html', 'https://punchng.com/nigerians-like-nigeriens-south-sudanese-are-dying-of-hunger-says-ndume/', 'https://punchng.com/nigeria-set-to-become-net-fuel-exporter-by-december-nnpcl/']","['soon', 'come', 'develop', 'anthem', 'coloni', 'email', 'hectar', 'area', 'food', 'product']"
Norway,"['https://www.forbes.com/sites/katharinabuchholz/2024/08/02/half-of-oecd-countries-earn-less-now-than-pre-pandemic-infographic/', 'https://www.bbc.com/news/articles/cz5r2mk18k1o', 'https://finance.yahoo.com/news/fed-powell-testifies-inflation-hiring-200035923.html', 'https://finance.yahoo.com/news/big-central-banks-starting-cut-130550937.html', 'https://finance.yahoo.com/news/major-central-banks-rate-cuts-133222726.html', 'https://www.dailysignal.com/2024/07/31/japans-population-implosion-is-an-economic-time-bomb/', 'https://finance.yahoo.com/news/charting-global-economy-uk-labour-090000347.html', 'https://www.forbes.com/sites/arielcohen/2024/07/26/why-are-us-ev-sales-flatlining/', 'https://www.channelnewsasia.com/business/big-central-banks-are-starting-cut-rates-slowly-4488911', 'https://biztoc.com/x/accaca0be42d20ac']","['ev', 'cent', 'per', 'wage', 'norwegian', 'olymp', 'cut', 'rate', 'real', 'politicsnew']"
Pakistan,"['https://tech.slashdot.org/story/24/07/19/2037213/bangladesh-is-experiencing-a-near-total-internet-shutdown-amid-student-protests', 'https://www.forbes.com/sites/brendanahern/2024/07/10/china-market-update-baidu-surges-on-robotaxi-optimism/', 'https://www.washingtonpost.com/world/2024/07/19/bangladesh-demonstrations-police-hasina/', 'https://www.forbes.com/sites/zengernews/2024/07/08/pakistani-american-workers-look-to-invest-in-a-growing-south-asian-property-market/', 'https://www.forbes.com/sites/johnbremen/2024/07/09/tracking-2024-mid-year-geopolitical-labor-inflation-ai--esg-trends/', 'https://finance.yahoo.com/news/pakistan-reaches-7-bn-aid-073730539.html', 'https://www.aljazeera.com/news/2024/7/22/bangladesh-protesters-issue-demands-amid-shaky-calm', 'https://www.aljazeera.com/news/2024/7/27/bangladesh-authorities-detain-student-protest-leaders-in-hospital', 'https://thediplomat.com/2024/07/can-russia-help-cash-strapped-pakistan/', 'https://www.yahoo.com/news/pakistan-looking-external-financing-avenues-112637018.html']","['real', 'estat', 'pakistan', 'russia', 'financ', 'hasina', 'protest', 'imf', 'risk', 'trade']"
Panama,"['https://www.forbes.com/sites/johnbremen/2024/07/09/tracking-2024-mid-year-geopolitical-labor-inflation-ai--esg-trends/', 'https://www.forbes.com/sites/thomasbrewster/2024/07/09/the-wiretap-company-raises-21-million-to-build-an-ai-assistant-for-data-breach-investigations/', 'https://finance.yahoo.com/news/less-ll-regret-not-having-110042643.html', 'https://finance.yahoo.com/news/paraguay-raised-investment-grade-rating-185413198.html', 'https://www.forbes.com/sites/billconerly/2024/07/11/international-shipping-rates-headed-up-long-term/', 'https://www.bbc.com/news/articles/ce93n7lgw5qo', 'https://www.bbc.com/news/world-latin-america-48121148?xtor=AL-72-%5Bpartner%5D-%5Byahoo.north.america%5D-%5Bheadline%5D-%5Bnews%5D-%5Bbizdev%5D-%5Bisapi%5D', 'https://www.voanews.com/a/venezuelan-opposition-says-it-has-proof-its-candidate-defeated-maduro-in-sunday-s-election/7718200.html', 'https://finance.yahoo.com/news/kirby-corporation-kex-best-shipping-072829433.html', 'https://finance.yahoo.com/news/why-hedge-funds-bullish-golden-052251490.html']","['score', 'ship', 'maduro', 'hot', 'stock', 'paraguay', 'bloomberg', 'chines', 'demand', 'elect']"
Paraguay,"['https://finance.yahoo.com/news/paraguay-raised-investment-grade-rating-185413198.html', 'https://www.voanews.com/a/venezuelan-opposition-says-it-has-proof-its-candidate-defeated-maduro-in-sunday-s-election/7718200.html']","['rate', 'said', 'venezuela', 'bloomberg', 'paraguay', 'maduro', 'gonz치lez', 'elect', 'elector', 'opposit']"
Peru,"['https://www.forbes.com/sites/davidbirnbaum/2024/07/12/dont-think-hyperinflation-can-happen-in-the-us-not-so-fast/', 'https://finance.yahoo.com/news/fed-williams-says-long-term-151436833.html', 'https://finance.yahoo.com/news/3-swedish-dividend-stocks-yields-020410317.html', 'https://www.yahoo.com/news/charting-global-economy-us-inflation-090000661.html', 'https://finance.yahoo.com/news/trump-win-economists-see-revived-100334919.html', 'https://www.forbes.com/sites/forbesfinancecouncil/2024/08/01/three-financial-lessons-and-how-to-apply-them/', 'https://finance.yahoo.com/news/charting-global-economy-uk-labour-090000347.html', 'https://whyevolutionistrue.com/2024/07/28/sunday-hili-dialogue-492/', 'https://finance.yahoo.com/news/ecb-poised-holiday-may-prime-200000532.html', 'https://finance.yahoo.com/news/fed-nod-rate-cut-job-200000212.html']","['dividend', 'would', 'invest', 'fed', 'financi', 'william', 'sek', 'om', 'neutral', 'polici']"
Philippines,"['https://time.com/7001208/kamala-harris-views-abortion-economy-immigration-israel-gaza/', 'https://www.aljazeera.com/news/2024/7/22/as-philippiness-marcos-addresses-nation-economy-duterte-rift-loom-large', 'https://www.yahoo.com/news/philippines-wants-boost-rice-cooperation-041142280.html', 'https://www.vox.com/china/363849/us-china-new-cold-war-ambassador-nicholas-burns', 'https://finance.yahoo.com/news/fed-powell-testifies-inflation-hiring-200035923.html', 'https://www.just-style.com/features/minimum-wage-rises-squeeze-southeast-asia-sourcing/', 'https://www.yahoo.com/news/aussie-kiwi-set-outperform-global-210000767.html', 'https://finance.yahoo.com/news/marcos-address-south-china-sea-011518669.html', 'https://www.bangkokpost.com/business/general/2825186/philippines-wants-to-boost-rice-cooperation-with-vietnam-to-ensure-food-security', 'https://finance.yahoo.com/news/optimism-rising-high-soft-landing-214855465.html']","['harri', 'wage', 'china', 'rice', 'marco', 'vietnam', 'minimum', 'jr', 'laurel', 'june']"
Portugal,"['https://www.mckinsey.com/industries/electric-power-and-natural-gas/our-insights/the-iberian-green-industrial-opportunity-seizing-the-moment', 'https://www.forbes.com/sites/johnbremen/2024/07/09/tracking-2024-mid-year-geopolitical-labor-inflation-ai--esg-trends/', 'https://www.forbes.com/sites/garthfriesen/2024/07/09/how-will-the-fed-respond-to-falling-inflation-and-rising-unemployment/', 'https://www.upi.com/Top_News/US/2024/07/03/Federal-Reserve-interest-rates-Jerome-Powell/4891720036850/', 'https://finance.yahoo.com/news/lagarde-says-ecb-needs-more-203621512.html', 'https://finance.yahoo.com/news/feds-powell-congress-could-show-100723869.html', 'https://finance.yahoo.com/news/ecb-set-decide-interest-rates-072248928.html', 'https://finance.yahoo.com/news/ecb-set-decide-interest-rates-081129875.html', 'https://removed.com', 'https://finance.yahoo.com/news/ecb-hold-fire-rates-key-040000325.html']","['soon', 'come', 'rate', 'ecb', 'fed', 'powel', 'spain', 'green', 'feder', 'energi']"
Samoa,"['https://www.greenbiz.com/article/hawaii-seabed-mining-ban-doesnt-spell-end-ev-batteries', 'https://www.crikey.com.au/2024/07/25/anthony-albanese-linda-burney-labor-cabinet-benjamin-netanyahu-congress/', 'https://freerepublic.com/focus/f-news/4249769/posts']","['mine', 'american', 'deep', 'sea', 'republican', 'minist', 'commit', 'batteri', 'must', 'protest']"
Singapore,"['https://www.forbes.com/sites/brendanahern/2024/07/10/china-market-update-baidu-surges-on-robotaxi-optimism/', 'https://time.com/7000278/penang-chow-kon-yeow-interview/', 'https://www.forbes.com/sites/brittanyanas/2024/07/06/the-20-most-expensive-cities-for-expats-according-to-a-2024-study/', 'https://finance.yahoo.com/news/singapore-central-bank-keeps-policy-002145046.html', 'https://www.mckinsey.com/industries/consumer-packaged-goods/our-insights/think-you-know-what-consumers-want-think-again', 'https://www.project-syndicate.org/commentary/central-bank-independence-importance-has-been-overestimated-by-stefan-gerlach-2024-07', 'https://finance.yahoo.com/news/singapore-dollar-reasons-win-asia-230000841.html', 'https://finance.yahoo.com/news/singapore-central-bank-expects-2024-051456271.html', 'https://finance.yahoo.com/news/dollar-adrift-ahead-us-inflation-011502128.html', 'https://www.realclearmarkets.com/articles/2024/07/25/book_review_nathaniel_ellisons_essential_crypto_confidential_1047061.html']","['email', 'crypto', 'money', 'eliason', 'penang', 'citi', 'expens', 'consum', 'yen', 'chia']"
South Africa,"['https://www.yankodesign.com/2024/07/24/fully-off-road-capable-self-inflating-alphago-s6-air-v4-camping-trailer-is-like-luxury-villa-on-wheels/', 'https://www.project-syndicate.org/commentary/nigeria-south-africa-weakened-by-political-economic-turmoil-by-adekeye-adebajo-2024-07', 'https://www.forbes.com/sites/rachelking/2024/07/11/consumers-opting-for-cheaper-drinks-amid-inflation-woes-and-health-concerns/', 'https://www.nakedcapitalism.com/2024/07/links-7-13-2024.html', 'https://removed.com', 'https://www.forbes.com/sites/johnbremen/2024/07/09/tracking-2024-mid-year-geopolitical-labor-inflation-ai--esg-trends/', 'https://finance.yahoo.com/news/fintechs-fly-planes-cash-zimbabwe-040037635.html', 'https://www.aljazeera.com/news/2024/7/22/as-philippiness-marcos-addresses-nation-economy-duterte-rift-loom-large', 'https://finance.yahoo.com/news/african-economies-seen-delaying-joining-040000386.html', 'https://finance.yahoo.com/news/morning-bid-tsmc-steadies-chips-100405325.html']","['soon', 'email', 'drink', 'come', 'marco', 'trailer', 'jr', 'rate', 'consum', 'leader']"
Spain,"['https://www.bbc.com/news/articles/c0dmvdmmv80o', 'https://www.mckinsey.com/industries/electric-power-and-natural-gas/our-insights/the-iberian-green-industrial-opportunity-seizing-the-moment', 'https://www.forbes.com/sites/rachelking/2024/07/11/consumers-opting-for-cheaper-drinks-amid-inflation-woes-and-health-concerns/', 'http://deadline.com/2024/07/twisters-box-office-1236011849/', 'https://www.forbes.com/sites/sharonedelson/2024/07/15/mango-logs-strong-first-half-leans-into-artificial-intelligence/', 'https://www.yahoo.com/news/france-muted-price-pickup-offers-073115363.html', 'https://finance.yahoo.com/news/euro-zone-inflation-sees-surprise-090727029.html', 'https://www.forbes.com/sites/afontevecchia/2024/07/29/the-show-must-go-on-mileis-hardocore-libertarianism-goes-global/', 'https://finance.yahoo.com/news/three-stocks-estimated-trading-intrinsic-130439011.html', 'https://finance.yahoo.com/news/euronext-amsterdam-showcases-basic-fit-050836910.html']","['drink', 'mango', 'nh', 'milei', 'energi', 'green', '49', 'alcohol', 'industri', 'insid']"
Sri Lanka,"['https://www.aljazeera.com/news/2024/7/26/sri-lanka-presidential-election-set-for-september-21-amid-ailing', 'https://www.yahoo.com/news/sri-lanka-hold-presidential-election-021603986.html', 'https://thediplomat.com/2024/07/sri-lankas-underappreciated-asset-offshore-lng/', 'https://www.channelnewsasia.com/asia/sri-lanka-presidential-election-economic-recovery-inflation-growth-debt-international-monetary-fund-4506226', 'https://www.channelnewsasia.com/business/sri-lanka-central-bank-seen-holding-rates-foster-stability-reuters-poll-4496171', 'https://www.channelnewsasia.com/asia/sri-lanka-economy-inflation-poverty-investment-growth-maritime-air-traffic-hub-indo-pacific-china-india-4464556', 'https://finance.yahoo.com/news/election-jolts-course-markets-risk-072222199.html', 'https://punchng.com/sri-lanka-announces-first-presidential-vote-since-unrest/', 'https://erickimphotography.com/blog/2024/07/14/21st-century-podcasting/', 'https://finance.yahoo.com/news/fed-nod-rate-cut-job-200000212.html']","['bitcoin', 'ga', 'elect', 'properti', 'energi', 'rate', 'said', 'sabri', 'percent', 'central']"
Sweden,"['https://www.forbes.com/sites/katharinabuchholz/2024/08/02/half-of-oecd-countries-earn-less-now-than-pre-pandemic-infographic/', 'https://finance.yahoo.com/news/3-swedish-dividend-stocks-yields-020408717.html', 'https://finance.yahoo.com/news/fed-powell-testifies-inflation-hiring-200035923.html', 'https://finance.yahoo.com/news/3-swedish-dividend-stocks-yields-020410317.html', 'https://finance.yahoo.com/news/swedish-exchange-growth-leaders-high-020706300.html', 'https://www.bbc.com/news/articles/c80e9k4wegno', 'https://www.nakedcapitalism.com/2024/08/links-8-3-2024.html', 'https://finance.yahoo.com/news/swedish-exchange-growth-leaders-high-103354924.html', 'https://finance.yahoo.com/news/big-central-banks-starting-cut-130550937.html', 'https://finance.yahoo.com/news/major-central-banks-rate-cuts-133222726.html']","['dividend', 'wage', 'sek', 'cut', 'countri', 'uk', 'pound', 'compani', 'rate', 'insid']"
Switzerland,"['https://www.forbes.com/sites/brittanyanas/2024/07/06/the-20-most-expensive-cities-for-expats-according-to-a-2024-study/', 'https://finance.yahoo.com/news/wealthiest-person-switzerland-161704258.html', 'https://finance.yahoo.com/news/high-insider-ownership-growth-companies-123352770.html', 'https://www.forbes.com/sites/seanhanlon-1/2024/07/05/2024-mid-year-update/', 'https://www.forbes.com/sites/davidbirnbaum/2024/07/12/dont-think-hyperinflation-can-happen-in-the-us-not-so-fast/', 'https://www.bbc.com/news/articles/c80e9k4wegno', 'https://finance.yahoo.com/news/barry-callebaut-two-additional-stocks-040247088.html', 'https://finance.yahoo.com/news/being-boring-key-central-bank-044008697.html', 'https://finance.yahoo.com/news/july-2024-insight-german-exchanges-030349841.html', 'https://www.privatebankerinternational.com/news/julius-baer-employs-head-of-swiss-market/']","['citi', 'jordan', 'uk', 'chf', 'fed', 'bore', 'xtra', 'hold', 'cut', 'swx']"
United Kingdom,"['https://www.project-syndicate.org/commentary/keir-starmer-fiscal-rules-may-jeopardize-green-transition-by-robert-skidelsky-2024-07', 'https://www.forbes.com/sites/rachelking/2024/07/11/consumers-opting-for-cheaper-drinks-amid-inflation-woes-and-health-concerns/', 'https://www.aljazeera.com/news/2024/7/4/uk-general-election-2024-key-issues-by-the-numbers', 'https://www.forbes.com/sites/brittanyanas/2024/07/06/the-20-most-expensive-cities-for-expats-according-to-a-2024-study/', 'https://finance.yahoo.com/news/exploring-three-undervalued-small-caps-070809598.html', 'https://qz.com/emails/quartz-obsession/1851574086/formula-1-tv-rights-history', 'https://newrepublic.com/article/184253/democrats-finally-took-big-pharma', 'https://www.naturalnews.com/2024-07-05-nigeria-recalling-gold-reserves-western-pyramid-scheme.html', 'https://www.forbes.com/sites/zengernews/2024/07/08/pakistani-american-workers-look-to-invest-in-a-growing-south-asian-property-market/', 'https://www.aljazeera.com/opinions/2024/7/13/austerity-and-immigration-no-longer-explain-the-far-rights-rise-in-europe']","['gold', 'drink', 'email', 'f1', 'insulin', 'citi', 'race', 'estat', 'pakistan', 'percent']"
United States,"['https://gizmodo.com/the-1-7-billion-bet-on-american-made-evs-explained-by-the-secretary-of-energy-2000473855', 'https://www.npr.org/2024/07/23/nx-s1-5046808/heres-how-4-billion-in-government-money-is-being-spent-to-reduce-climate-pollution', 'https://politics.slashdot.org/story/24/07/27/2141234/trump-says-hed-oppose-cbdcs-pardon-ulbricht-and-create-a-strategic-national-bitcoin-stockpile', 'https://www.yahoo.com/news/excuse-foxs-harris-faulkner-response-132216537.html', 'https://qz.com/independent-states-inflation-july-4-car-thermometers-1851578568', 'https://www.npr.org/2024/07/30/nx-s1-5055670/harris-trump-border-immigration-georgia', 'https://www.businessinsider.com/trump-already-trialing-nicknames-for-potential-kamala-harris-face-off-2024-7', 'https://time.com/6999989/jd-vance-trump-vice-president-running-mate-rnc-speech/', 'https://ca.news.yahoo.com/alphabet-report-double-digit-q2-130145257.html', 'https://gizmodo.com/the-workers-who-feed-america-are-going-hungry-2000476140']","['vanc', 'farmwork', 'food', 'harri', 'border', 'climat', 'trump', 'ev', 'plan', 'store']"
Uruguay,"['https://finance.yahoo.com/news/charting-global-economy-uk-services-090000132.html', 'https://www.yahoo.com/news/riskiest-nations-stand-buffer-against-123000868.html', 'https://www.nakedcapitalism.com/2024/07/links-7-13-2024.html', 'https://www.voanews.com/a/venezuelan-opposition-says-it-has-proof-its-candidate-defeated-maduro-in-sunday-s-election/7718200.html', 'https://dnyuz.com/2024/07/28/food-as-you-know-it-is-about-to-change/', 'https://www.blogger.com/comment.g?blogID=8152901575140311047&postID=5249574565269784151&bpli=1', 'https://foreignpolicy.com/2024/07/12/argentina-milei-economic-reform-foreign-policy-far-right/', 'https://fortune.com/2024/07/28/riskiest-debt-frontier-markets-protection-us-election-donald-trump-tariffs-trade-war/', 'https://ipwatchdog.com/2024/07/07/supporters-life-sciences-innovation-spar-drug-pricing-advocates-comments-terminal-disclaimer-nprm/id=178606/', 'https://time.com/7006513/china-illegal-fishing-ocean-investigation/']","['fish', 'patent', 'damodaran', 'aswath', 'milei', 'jul', 'pm', 'food', 'frontier', 'comment']"
